Complexity,Loss,Equation
1,0.03817004,"-0.04799346"
3,0.036170464,"-15.167783 / n"
4,0.035072636,"-1.8507857 / sqrt(n)"
5,0.03477621,"(n * 5.766016e-5) + -0.14965615"
6,0.034720987,"-0.21656224 + (0.004251149 * sqrt(n))"
7,0.034575753,"(-1.2074181 / sqrt(sqrt(n))) + 0.15869908"
8,0.0345333,"(-2.4759092 / sqrt(sqrt(log(n)))) + 1.4693112"
10,0.034113377,"((n * 3.4029108e-5) + (-1.4729384 / sqrt(n))) + -0.06119837"
12,0.03391718,"n * ((((-1.5260471 / n) + -0.0037320242) / sqrt(n)) + 8.418124e-5)"
14,0.033848107,"n * ((((-1.5260471 / n) + -0.0037320242) / sqrt(n - 6.518742)) + 8.418124e-5)"
16,0.03384114,"n * ((((-1.5260471 / n) + -0.0037320242) / sqrt((-0.89222515 + n) - 6.518742)) + 8.418124e-5)"
17,0.032645028,"(((n * 0.0024388027) + -1.3130745) / sqrt(n - exp((0.0024388027 * n) + -0.6619788))) + -0.10287689"
