Complexity,Loss,Equation
1,0.7665212,"1.2059562"
3,0.76582044,"n ^ 0.025883388"
5,0.76525116,"(-13.206038 / n) + 1.223941"
7,0.7639276,"(0.3706671 ^ (0.9734708 ^ n)) * 1.2111732"
8,0.76367825,"sqrt((0.081961624 ^ (0.97275263 ^ n)) * 1.4694368)"
9,0.763275,"((0.40689793 ^ (0.9149931 ^ n)) ^ n) * 1.212432"
10,0.7228795,"sqrt(sqrt(exp((0.8580878 ^ n) ^ (0.93525875 ^ n))))"
11,0.7071193,"sqrt(exp(((0.85387206 ^ n) ^ (0.92529964 ^ n)) - 0.47416827))"
12,0.70415163,"sqrt(exp(((0.8555743 ^ n) ^ sqrt(0.9243317 ^ n)) - 0.47225952))"
13,0.7028671,"sqrt(exp((((0.85387206 ^ n) ^ (0.92529964 ^ n)) ^ n) - 0.47416827))"
15,0.7017953,"sqrt(exp(((((0.85387206 ^ n) ^ (0.92529964 ^ n)) ^ n) / 0.93522984) - 0.47416827))"
17,0.70179176,"sqrt(exp(((((0.85387206 ^ n) ^ (0.92529964 ^ n)) ^ (2.5684698 + n)) / 0.93522984) - 0.47416827))"
