Complexity,Loss,Equation
1,4.7503858,"6.1105695"
2,4.605985,"sqrt(n)"
3,0.12431761,"n ^ 0.62586695"
5,0.00046389623,"(n - 2.3209414) ^ 0.64871925"
7,0.0001365842,"((n + -1.0290798) ^ 1.6505978) / n"
9,0.00013658409,"(((n - 0.5122666) + -0.5168132) ^ 1.6505978) / n"
10,0.0001089761,"exp(n * -0.40801933) + ((n + -2.4617603) ^ 0.65002304)"
11,8.7699176e-5,"(n + -2.4446201) ^ (exp(sqrt(n) - n) + 0.64989257)"
13,8.439286e-5,"(n + -2.457777) ^ (0.6499994 + exp(sqrt(n) - (n - 0.103142776)))"
15,8.419417e-5,"(n + -2.457777) ^ (exp(sqrt(n - 0.1280986) - (n - 0.132331)) + 0.6499994)"
17,8.344942e-5,"(-2.457777 + n) ^ (exp((-0.36268836 ^ n) + (sqrt(n) - (n - 0.132331))) + 0.6499994)"
19,8.3411884e-5,"(n + -2.457777) ^ (exp((n + sqrt(n ^ (0.5830828 ^ -0.095503114))) - (n + n)) + 0.6499994)"
20,4.737375e-5,"((n + -2.4397113) + exp((n / -1.08816) - (-0.87324476 - (exp(-0.87324476 ^ n) + log(n))))) ^ 0.6498067"
