# Sub-linear monotone increasing function of a positive integer index
# Observable: y(n) — a smooth, slowly growing scalar quantity
# Range: n = 50 to 2000 (step 10)
=== sweep 1 ===
n	y
50	4.644391
60	5.181784
70	5.710427
80	6.165418
90	6.616065
100	7.017506
110	7.410347
120	7.772332
130	8.127109
140	8.458292
150	8.782783
160	9.088060
170	9.388738
180	9.673760
190	9.953753
200	10.221287
210	10.484306
220	10.737049
230	10.985750
240	11.225310
250	11.461495
260	11.689899
270	11.914931
280	12.133287
290	12.348353
300	12.557842
310	12.764187
320	12.965513
330	13.163951
340	13.357973
350	13.549295
360	13.736634
370	13.921375
380	14.102597
390	14.281394
400	14.456966
410	14.630262
420	14.800613
430	14.968849
440	15.134387
450	15.297893
460	15.458936
470	15.618056
480	15.774912
490	15.929937
500	16.082863
510	16.234058
520	16.383307
530	16.530906
540	16.676690
550	16.820906
560	16.963422
570	17.104451
580	17.243879
590	17.381895
600	17.518406
610	17.653566
620	17.787311
630	17.919766
640	18.050882
650	18.180764
660	18.309380
670	18.436816
680	18.563050
690	18.688154
700	18.812117
710	18.934997
720	19.056789
730	19.177543
740	19.297258
750	19.415979
760	19.533707
770	19.650480
780	19.766302
790	19.881206
800	19.995201
810	20.108312
820	20.220550
830	20.331937
840	20.442487
850	20.552216
860	20.661141
870	20.769274
880	20.876634
890	20.983229
900	21.089079
910	21.194192
920	21.298586
930	21.402268
940	21.505255
950	21.607555
960	21.709184
970	21.810147
980	21.910462
990	22.010133
1000	22.109177
1010	22.207597
1020	22.305411
1030	22.402619
1040	22.499240
1050	22.595274
1060	22.690739
1070	22.785635
1080	22.879978
1090	22.973770
1100	23.067025
1110	23.159744
1120	23.251942
1130	23.343619
1140	23.434791
1150	23.525456
1160	23.615629
1170	23.705310
1180	23.794513
1190	23.883237
1200	23.971495
1210	24.059287
1220	24.146626
1230	24.233512
1240	24.319955
1250	24.405957
1260	24.491529
1270	24.576669
1280	24.661391
1290	24.745692
1300	24.829585
1310	24.913068
1320	24.996152
1330	25.078837
1340	25.161132
1350	25.243037
1360	25.324562
1370	25.405707
1380	25.486480
1390	25.566881
1400	25.646920
1410	25.726595
1420	25.805916
1430	25.884882
1440	25.963502
1450	26.041774
1460	26.119708
1470	26.197302
1480	26.274564
1490	26.351495
1500	26.428101
1510	26.504383
1520	26.580347
1530	26.655993
1540	26.731328
1550	26.806352
1560	26.881071
1570	26.955486
1580	27.029603
1590	27.103421
1600	27.176946
1610	27.250180
1620	27.323126
1630	27.395787
1640	27.468166
1650	27.540265
1660	27.612087
1670	27.683635
1680	27.754912
1690	27.825920
1700	27.896662
1710	27.967140
1720	28.037357
1730	28.107314
1740	28.177016
1750	28.246463
1760	28.315660
1770	28.384606
1780	28.453306
1790	28.521760
1800	28.589972
1810	28.657943
1820	28.725677
1830	28.793174
1840	28.860437
1850	28.927468
1860	28.994269
1870	29.060841
1880	29.127188
1890	29.193311
1900	29.259212
1910	29.324892
1920	29.390354
1930	29.455599
1940	29.520629
1950	29.585447
1960	29.650053
1970	29.714450
1980	29.778639
1990	29.842621
2000	29.906400
