# Sub-linear monotone increasing function of a positive integer index
# Observable: y(n) — a smooth, slowly growing scalar quantity
# Range: n = 10001 to 50000 (step 25)
=== sweep 1 ===
n	y
10001	57.630788
10026	57.687219
10051	57.743558
10076	57.799807
10101	57.855965
10126	57.912032
10151	57.968010
10176	58.023898
10201	58.079698
10226	58.135408
10251	58.191030
10276	58.246564
10301	58.302010
10326	58.357369
10351	58.412641
10376	58.467826
10401	58.522924
10426	58.577937
10451	58.632864
10476	58.687706
10501	58.742463
10526	58.797135
10551	58.851722
10576	58.906226
10601	58.960646
10626	59.014983
10651	59.069237
10676	59.123408
10701	59.177496
10726	59.231503
10751	59.285427
10776	59.339271
10801	59.393033
10826	59.446714
10851	59.500315
10876	59.553835
10901	59.607276
10926	59.660637
10951	59.713919
10976	59.767121
11001	59.820245
11026	59.873291
11051	59.926258
11076	59.979148
11101	60.031959
11126	60.084694
11151	60.137352
11176	60.189933
11201	60.242437
11226	60.294865
11251	60.347218
11276	60.399495
11301	60.451696
11326	60.503823
11351	60.555874
11376	60.607852
11401	60.659754
11426	60.711583
11451	60.763339
11476	60.815021
11501	60.866629
11526	60.918165
11551	60.969628
11576	61.021019
11601	61.072337
11626	61.123584
11651	61.174759
11676	61.225862
11701	61.276895
11726	61.327856
11751	61.378747
11776	61.429568
11801	61.480318
11826	61.530999
11851	61.581610
11876	61.632151
11901	61.682624
11926	61.733027
11951	61.783362
11976	61.833628
12001	61.883826
12026	61.933956
12051	61.984018
12076	62.034012
12101	62.083940
12126	62.133800
12151	62.183593
12176	62.233320
12201	62.282981
12226	62.332575
12251	62.382103
12276	62.431566
12301	62.480963
12326	62.530294
12351	62.579561
12376	62.628763
12401	62.677900
12426	62.726973
12451	62.775981
12476	62.824926
12501	62.873806
12526	62.922623
12551	62.971377
12576	63.020067
12601	63.068695
12626	63.117260
12651	63.165762
12676	63.214202
12701	63.262580
12726	63.310895
12751	63.359150
12776	63.407342
12801	63.455473
12826	63.503543
12851	63.551552
12876	63.599500
12901	63.647388
12926	63.695215
12951	63.742982
12976	63.790689
13001	63.838337
13026	63.885924
13051	63.933453
13076	63.980922
13101	64.028331
13126	64.075683
13151	64.122975
13176	64.170209
13201	64.217384
13226	64.264502
13251	64.311561
13276	64.358563
13301	64.405507
13326	64.452393
13351	64.499223
13376	64.545995
13401	64.592710
13426	64.639369
13451	64.685971
13476	64.732517
13501	64.779006
13526	64.825440
